Player,Team,GP,Position,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,#
"Figueroa, John",NU,14,F,24.46,9.3,3.142857142857143,7.142857142857142,43.4,0.14285714285714285,1.2857142857142858,11.11,2.357142857142857,2.9285714285714284,80.49,1.4285714285714286,5.5,7.4,1.9,1.3,0.6,2.3,2.3,72
"Baclaan, Kean",NU,13,G,22.15,8.4,3.0,9.923076923076923,30.3,1.3076923076923077,4.923076923076923,26.56,0.6153846153846154,0.7692307692307693,80.0,1.0769230769230769,2.3076923076923075,3.4,4.2,1.6,0.0,3.4,2.1,73
"John, Omar",NU,14,,26.15,7.8,3.642857142857143,7.428571428571428,48.2,0.0,0.07142857142857142,0.0,0.5,1.4285714285714286,35.0,3.0714285714285716,4.142857142857143,7.2,1.3,0.7,1.6,3.0,2.9,74
"Malonzo, Michael",NU,14,,24.57,7.0,2.6428571428571432,4.857142857142858,56.0,0.07142857142857142,0.6428571428571429,11.11,1.3571428571428572,1.7857142857142858,76.0,2.5,3.642857142857143,6.2,1.5,1.1,0.7,1.2,2.4,75
"Enriquez, Steve",NU,11,G,18.1,6.9,2.2727272727272725,7.454545454545455,29.9,1.0,3.5454545454545454,28.21,1.8181818181818181,3.272727272727273,55.56,0.6363636363636364,1.0909090909090908,1.8,2.7,1.3,0.0,1.5,0.9,76
"Manansala, Jolo",NU,14,F,15.08,5.4,2.357142857142857,4.142857142857143,55.0,0.21428571428571427,0.6428571428571429,33.33,0.8571428571428571,1.4285714285714286,60.0,2.357142857142857,2.7857142857142856,5.1,0.6,0.5,0.3,0.8,0.9,77
"Yu, Patrick",NU,14,G,16.22,4.6,1.7142857142857142,5.428571428571429,30.5,0.5,2.0,25.0,0.8571428571428571,1.2857142857142858,66.67,0.6428571428571429,2.2142857142857144,2.9,1.8,0.6,0.2,1.6,1.4,78
"Palacielo, Justin",NU,13,,4.47,2.6,1.2307692307692308,2.230769230769231,57.1,0.0,0.07692307692307693,0.0,0.15384615384615385,0.3076923076923077,50.0,0.7692307692307693,0.46153846153846156,1.3,0.4,0.2,0.0,0.6,0.8,79
"Galinato, John",NU,14,,7.53,2.1,0.7857142857142857,3.2857142857142856,25.5,0.35714285714285715,1.5714285714285714,22.73,0.21428571428571427,0.42857142857142855,50.0,0.14285714285714285,0.8571428571428571,0.9,0.4,0.1,0.0,0.6,1.3,80
"Minerva, Robert",NU,14,F,9.01,2.0,0.7142857142857142,2.071428571428571,35.5,0.14285714285714285,0.8571428571428571,16.67,0.42857142857142855,0.6428571428571429,66.67,0.9285714285714286,1.2142857142857142,2.2,0.4,0.5,0.1,0.3,1.6,81
"Mahinay, Germy",NU,14,C,5.53,1.0,0.35714285714285715,1.5,24.0,0.0,0.14285714285714285,0.0,0.21428571428571427,0.2857142857142857,75.0,0.9285714285714286,1.1428571428571428,2.2,0.2,0.1,0.1,0.5,1.7,82
"Tibayan, Jonas",NU,12,F,3.05,0.8,0.4166666666666667,0.75,55.6,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.4166666666666667,0.0,0.4,0.2,0.2,0.0,0.3,0.7,83
"Tulabut, Nat",NU,6,,1.05,0.3,0.16666666666666666,0.3333333333333333,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.2,0.0,0.2,0.0,0.7,0.0,84
"Villegas, Luis",UE,14,,29.54,13.1,4.357142857142857,9.714285714285715,44.9,1.9285714285714286,5.5,35.06,2.5,2.9285714285714284,85.37,2.2142857142857144,5.857142857142857,8.1,3.8,1.9,0.8,2.0,2.4,85
"Paranada, Kyle",UE,14,G,23.04,11.6,3.7142857142857144,10.357142857142858,35.9,1.4285714285714286,5.357142857142857,26.67,2.7857142857142856,3.5,79.59,0.42857142857142855,2.4285714285714284,2.9,4.2,1.6,0.1,2.1,2.6,86
"Paranada, Nick",UE,14,G,21.02,9.9,3.2857142857142856,9.857142857142858,33.3,1.8571428571428572,5.428571428571429,34.21,1.4285714285714286,1.9285714285714286,74.07,0.6428571428571429,2.357142857142857,3.0,3.1,0.7,0.0,1.1,1.0,87
"Stevens, Jalen",UE,14,C,28.24,9.4,4.285714285714286,7.0,61.2,0.0,0.0,0.0,0.7857142857142857,2.5714285714285716,30.56,2.5714285714285716,3.7142857142857144,6.3,1.0,0.9,0.4,0.9,2.6,88
"Payawal, Calvin",UE,14,G,20.52,8.3,2.6428571428571432,7.428571428571429,35.6,2.0714285714285716,5.714285714285714,36.25,0.9285714285714286,1.3571428571428572,68.42,0.9285714285714286,3.2857142857142856,4.2,1.1,0.9,0.1,1.1,2.1,89
"Pagsanjan, Harvey",UE,13,G,25.52,5.1,1.8461538461538463,6.538461538461538,28.2,0.6153846153846154,2.6153846153846154,23.53,0.7692307692307693,1.5384615384615385,50.0,1.1538461538461537,2.923076923076923,4.1,0.8,0.9,0.2,1.2,2.2,90
"Sawat, Abdul",UE,14,F,16.05,4.4,1.3571428571428572,4.0,33.9,0.35714285714285715,1.0714285714285714,33.33,1.2857142857142858,1.5714285714285714,81.82,1.1428571428571428,1.7857142857142858,2.9,0.9,0.4,0.1,1.0,2.0,91
"Remogat, Rey",UE,14,,9.46,4.2,1.5,4.214285714285714,35.6,0.6428571428571429,2.4285714285714284,26.47,0.5714285714285714,0.5714285714285714,100.0,0.35714285714285715,0.8571428571428571,1.2,1.1,0.3,0.0,1.1,0.9,92
"Tulabut, Jm",UE,9,,8.04,2.8,1.2222222222222223,2.5555555555555554,47.8,0.1111111111111111,0.6666666666666666,16.67,0.2222222222222222,0.5555555555555556,40.0,0.5555555555555556,1.6666666666666667,2.2,0.1,0.0,0.0,0.2,1.0,93
"Antiporda, Frederic",UE,12,G,8.34,2.5,0.9166666666666666,3.25,28.2,0.6666666666666666,2.5,26.67,0.0,0.0,0.0,0.08333333333333333,0.5,0.6,0.3,0.5,0.0,0.5,0.3,94
"Alcantara, Josiah",UE,10,G,8.11,1.2,0.3,1.5,20.0,0.0,0.4,0.0,0.6,0.7,85.71,0.2,0.7,0.9,1.1,0.1,0.2,1.1,1.0,95
"Guevarra, Justine",UE,7,,4.03,0.7,0.2857142857142857,0.8571428571428571,33.3,0.14285714285714285,0.42857142857142855,33.33,0.0,0.0,0.0,0.2857142857142857,0.2857142857142857,0.6,0.4,0.1,0.0,0.0,0.4,96
"Beltran, Allan",UE,10,C,6.52,0.3,0.1,0.2,50.0,0.0,0.0,0.0,0.1,0.4,25.0,0.2,0.5,0.7,0.3,0.0,0.0,0.2,1.2,97
"Langit, Jeremy",UE,2,G,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.0,0.0,1.0,98
"Lingolingo, Chris",UE,3,,1.1,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,99
"Lastimosa, Jerom",ADU,12,G,25.41,15.0,5.166666666666667,12.5,39.8,1.4166666666666667,5.333333333333333,26.56,3.0833333333333335,4.083333333333333,75.51,1.0833333333333333,3.25,4.1,3.6,1.0,0.2,2.9,1.4,100
"Douanga, Lenda",ADU,14,C,24.12,10.4,4.214285714285714,8.214285714285714,48.9,0.35714285714285715,0.8571428571428571,41.67,2.0,3.2142857142857144,62.22,2.5714285714285716,5.5,7.6,0.6,0.1,0.9,1.6,1.8,101
"Manzano, Cedrick",ADU,14,C,18.46,7.8,3.0714285714285716,6.071428571428571,51.0,0.0,0.0,0.0,1.5714285714285714,2.4285714285714284,64.71,3.642857142857143,3.5714285714285716,7.8,0.9,0.5,1.2,1.4,2.8,102
"Yerro, Joshua",ADU,14,G,21.49,6.8,2.2142857142857144,6.642857142857143,34.6,0.7857142857142857,3.0714285714285716,25.58,1.1428571428571428,1.7142857142857142,66.67,1.3571428571428572,3.0714285714285716,4.8,2.8,1.3,0.0,1.5,2.6,103
"Manlapaz, Adrian",ADU,5,F,9.08,6.6,2.4000000000000004,4.8,47.1,0.8,2.0,40.0,1.2,1.8,66.67,0.4,1.2,1.7,0.4,0.4,0.4,0.4,0.4,104
"Sabandal, Jm",ADU,12,G,19.27,6.4,2.0,6.75,29.3,0.5833333333333334,2.8333333333333335,20.59,2.0,3.1666666666666665,63.16,0.5,2.0,2.4,1.9,0.7,0.1,1.4,1.6,105
"Hanapi, Didat",ADU,12,G,21.45,6.1,2.1666666666666665,6.25,35.7,1.0833333333333333,3.6666666666666665,29.55,1.0,1.6666666666666667,60.0,0.8333333333333334,1.6666666666666667,2.2,1.0,0.8,0.1,1.3,1.4,106
"Magbuhos, Vince",ADU,10,F,22.45,5.8,2.5,7.5,31.3,1.5,4.8,31.25,0.2,0.6,33.33,0.8,3.4,3.7,2.1,1.1,0.8,1.6,1.7,107
"Flowers, Aaron",ADU,14,F,10.29,3.3,1.2857142857142856,3.7857142857142856,34.9,0.2857142857142857,0.8571428571428571,33.33,0.2857142857142857,0.5714285714285714,50.0,1.0,2.2142857142857144,3.2,0.4,0.6,0.3,0.9,2.1,108
"Jaymalin, Joaquin",ADU,14,F,10.33,2.8,1.0,3.7142857142857144,27.3,0.8571428571428571,3.0,28.57,0.07142857142857142,0.14285714285714285,50.0,0.2857142857142857,1.0714285714285714,1.3,0.5,0.4,0.0,0.4,1.4,109
"Torres, Allen",ADU,14,G,9.51,2.1,0.6428571428571428,2.928571428571429,24.4,0.2857142857142857,1.0714285714285714,26.67,0.2857142857142857,0.35714285714285715,80.0,0.14285714285714285,1.4285714285714286,1.6,0.5,0.4,0.3,1.0,0.9,110
"Colonia, Jed",ADU,14,G,16.43,1.9,0.5,2.2142857142857144,20.6,0.0,0.35714285714285715,0.0,1.0,1.7857142857142858,56.0,0.42857142857142855,2.357142857142857,2.6,2.7,0.5,0.1,1.4,1.9,111
"Barcelona, Joshua",ADU,12,F,4.54,0.8,0.4166666666666667,0.8333333333333334,50.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,50.0,0.4166666666666667,0.5,0.8,0.2,0.0,0.0,0.3,0.7,112
"Fuentebella, Joshua",ADU,12,F,4.13,0.6,0.3333333333333333,1.0833333333333333,23.1,0.16666666666666666,0.75,22.22,0.0,0.0,0.0,0.0,0.25,0.2,0.1,0.0,0.0,0.1,0.5,113
"Magbuhos, Wilfrey",ADU,11,F,1.1,0.3,0.18181818181818182,0.18181818181818182,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.3,0.0,0.1,0.0,0.0,0.2,114
"Tamayo, Carl",UP,14,C,23.54,13.3,5.071428571428571,11.214285714285715,45.1,1.0,4.071428571428571,24.56,2.642857142857143,4.0,66.07,2.2142857142857144,5.5,7.3,1.4,0.9,0.2,1.7,1.8,115
"Lucero, Zavier",UP,14,F,23.3,11.4,4.214285714285714,9.857142857142858,43.0,1.2142857142857142,3.2857142857142856,36.96,1.7142857142857142,2.2142857142857144,77.42,1.7142857142857142,3.5714285714285716,5.7,2.1,1.5,0.9,2.3,1.6,116
"Diouf, Malick",UP,14,C,22.51,11.2,3.857142857142857,7.571428571428571,49.2,0.21428571428571427,1.0,21.43,2.857142857142857,4.214285714285714,67.8,3.142857142857143,7.714285714285714,11.5,2.8,1.4,1.7,1.7,2.7,117
"Fortea, Terrence",UP,11,G,24.28,10.0,3.272727272727273,8.181818181818182,39.6,2.3636363636363638,5.7272727272727275,41.27,1.4545454545454546,1.8181818181818181,80.0,0.36363636363636365,2.3636363636363638,2.5,3.9,1.1,0.0,3.6,1.3,118
"Cagulangan, Jd",UP,8,G,19.57,6.6,2.0,5.75,33.3,1.5,4.0,37.5,0.875,1.5,58.33,0.625,2.5,3.1,4.9,1.1,0.0,1.9,1.2,119
"Spencer, James",UP,14,F,22.47,6.4,2.2857142857142856,6.071428571428571,36.0,1.2857142857142858,3.9285714285714284,32.73,1.0,1.2857142857142858,77.78,0.7857142857142857,2.357142857142857,2.9,2.3,0.5,0.1,1.9,1.3,120
"Alarcon, Harold",UP,14,G,17.59,5.7,1.9285714285714284,5.0,37.0,0.7142857142857143,2.0,35.71,1.4285714285714286,1.7857142857142858,80.0,1.1428571428571428,1.9285714285714286,3.1,1.1,0.7,0.1,1.0,2.7,121
"Gonzales, Cyril",UP,13,G,14.42,5.5,2.076923076923077,4.6923076923076925,43.7,0.5384615384615384,1.6923076923076923,31.82,0.38461538461538464,0.5384615384615384,71.43,0.5384615384615384,0.23076923076923078,0.8,0.7,1.0,0.0,0.9,2.1,122
"Abadiano, Gerry",UP,14,G,17.19,5.1,1.2142857142857144,3.571428571428571,35.8,0.5,1.9285714285714286,25.93,1.7142857142857142,2.0714285714285716,82.76,0.6428571428571429,0.9285714285714286,2.0,1.1,0.6,0.0,1.1,1.7,123
"Galinato, Henry",UP,13,C,10.38,4.3,1.7692307692307692,3.6153846153846154,50.0,0.0,0.07692307692307693,0.0,0.7692307692307693,1.5384615384615385,50.0,1.3076923076923077,2.6153846153846154,3.8,0.6,0.1,0.2,1.5,1.2,124
"Andrews, Daylan",UP,3,F,4.4,2.3,0.6666666666666666,1.6666666666666665,40.0,0.0,0.3333333333333333,0.0,1.0,1.3333333333333333,75.0,0.0,0.0,0.0,0.0,0.7,0.0,0.7,0.3,125
"Calimag, Rc",UP,13,G,5.46,1.4,0.46153846153846156,1.8461538461538463,25.0,0.07692307692307693,0.8461538461538461,9.09,0.38461538461538464,0.46153846153846156,83.33,0.7692307692307693,0.8461538461538461,1.6,0.1,0.2,0.0,0.1,0.5,126
"Eusebio, Anton",UP,5,F,5.42,1.3,0.4,3.0,15.4,0.0,1.0,0.0,0.2,0.6,33.33,0.4,0.8,1.3,0.3,0.0,0.0,0.0,1.8,127
"Torculas, Sean",UP,8,F,4.59,0.6,0.125,1.625,7.7,0.0,0.75,0.0,0.375,0.5,75.0,0.75,1.0,1.6,0.1,0.0,0.0,0.7,0.9,128
"Lina, Bismark",UP,8,F,6.2,0.5,0.25,2.0,12.5,0.0,0.25,0.0,0.0,0.5,0.0,0.5,1.25,1.8,0.1,0.0,0.1,0.6,0.8,129
